occ_group,oil_exposure
1,0.0791542933632154
2,0.049967435301234944
3,0.08638651417638174
4,0.030304485848941843
5,0.10934693085611798
6,0.029739489507628603
7,0.0662659184440039
8,0.1419274917738512
9,0.17568938564073755
