horizon,beta,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,0.0021841279244374703,0.00026627137576011687,0.0016332829803065846,0.002692677356624514,0.001732824175601156,0.0025835489899079817,0.0019097388997468372,0.002428380879345798
1,0.0040636448180756905,0.0004966383600249038,0.003066470960086996,0.0049343092267799,0.003192073214043554,0.004817846148215428,0.003516930938963126,0.004536248635639384
2,0.004452009620066407,0.0006064553690624748,0.0031273760765659527,0.005605936856730322,0.003346169293005786,0.005405571647740509,0.003736710026557846,0.004918543245310534
3,0.004343095746908186,0.0006721961067554026,0.002831445151666631,0.005547374338760127,0.003134723094006454,0.005312190161337187,0.003576611898355484,0.004883151583649637
4,0.0041217178909085436,0.0007170401758790845,0.0026557753485523415,0.005481376369108721,0.0029214604693863526,0.005184511651110533,0.003321400204885439,0.004757675204108586
5,0.003883004323712033,0.0008352496647237491,0.0021925212392547733,0.0053727620935169525,0.0024157903623123114,0.005196082733425354,0.0030099408014069248,0.004661805556193395
6,0.003677873497947005,0.0009017557651439932,0.0016148762017498585,0.005165304959301892,0.002045412698997614,0.00499994146493859,0.0026644624922561016,0.004430679227208295
7,0.0036397920823524397,0.0009522239894753648,0.0017425878960022462,0.005331789602466073,0.0020302044148717154,0.0050931925446737105,0.0025726037903808247,0.00447929008121326
8,0.0035145800894968164,0.0010382374247036538,0.0015246664761107815,0.005499616982330375,0.0017812615837607987,0.005117796005366371,0.0023462409276643176,0.004410009244119069
9,0.003352733667752605,0.0012338017206191278,0.0010641786029101559,0.0056697999120984745,0.001305582301105923,0.005331148447469743,0.0019960670942231534,0.004459044892356312
10,0.003417451247753564,0.0012623823934443052,0.0010209913646911587,0.005919993864883174,0.0013342421783730544,0.005563367952964716,0.0021475755503470497,0.004663501165625453
11,0.003833661585963094,0.0014509176590924912,0.0010071319720443405,0.0066328199734511616,0.0014869793172730215,0.006054166329585864,0.0023097453606738885,0.005222568757185729
12,0.0038455605660903695,0.001514576216824708,0.0010299380503135409,0.006917286717592853,0.0013985337686855748,0.006545903356358058,0.002211196541567414,0.005258329984476842
13,0.0033142706175832287,0.0015467307813922038,0.0005336841024842108,0.0065379731325401775,0.0010103684821792963,0.006090788139213167,0.0018210638100300816,0.004998052216889724
14,0.0027439631061714044,0.0016944348091057781,-0.0003413296373972759,0.006471059286251153,0.00023837332261186957,0.0057574004022778544,0.0013303240399386831,0.004424755340639859
15,0.002918562258134577,0.0015723964392177553,-0.0001844134943831889,0.005955917644010423,0.0003444733301437568,0.0055226083145816325,0.0013726884233600234,0.004309879812714
16,0.0028858055055531384,0.0017756114641707364,-0.0003352105124536476,0.006520613632342746,1.5640957037500985e-5,0.006015203267741423,0.0011176492449055002,0.004645108204660986
