outcome,horizon,1,2,3,4,5,6,7,8,9,10,11,12
employment,0,0.00114614922113101,-0.004886640120752498,-0.0026499809416743497,0.00010792877321217853,-0.0015741526489467341,-0.0018393535917666146,0.00015412046761472737,-0.006401529051662451,-0.003909545079864572,-0.003244416359806862,-0.015387824065325335,0.0009594901865792114
employment,1,0.009980254226534483,0.005936910274871894,0.0014595072648802732,0.004316144287902574,-0.0006324043310411118,-0.0010108354959473182,0.0010285719992063128,-0.002076681901512305,-0.0027846327018288255,-0.0019060525003876303,-0.00414088876584087,0.004945417438290642
employment,2,0.012247740809032957,0.007642540447935558,0.0026530926204314685,0.004177762013787985,0.0007510437981359165,-0.0003468925473100569,-0.001784428357738335,0.0031199837147810458,-0.002430675885064012,0.0014664997138387412,0.0032349236576222806,0.004986459072396176
employment,3,0.015488431291866432,0.006969062078600254,0.0012476609006105998,0.0032725190114065803,-0.0005794451968898979,-0.0024325045197294143,-0.0003540484073686075,0.0004418493283415614,-0.0005051584726872729,-0.002031175098876141,0.003704599367508869,0.0007274164249933062
employment,4,0.013642049655415486,0.006784613713630836,0.0006685735515791449,0.002516167555607683,-0.0054197451680106905,-0.0037773991066032916,-0.003915389008274055,-0.0034838871530159473,5.150381784571301e-5,-0.0034863981102205683,-0.00030736443637280987,-0.000648376408222489
employment,5,0.006457783443178099,0.007599673079744844,-0.0003381154622928343,0.0006031797484945685,-0.003597056236117368,-0.004928965546016053,-0.005059802254882238,-0.003936067540415464,-0.0005737158650248136,-0.0021995056847417213,-0.004788998259263214,-0.00013627197634992526
employment,6,-0.0018167477477693797,0.006222303294550097,8.805190438646206e-6,0.0010083599674790356,-0.00414064956892905,-0.006339596952749525,-0.003314116847648819,-0.004170904720915167,-0.0008319445741501771,-0.002688003697141285,-0.00666678886234566,0.0008867328102906594
employment,7,-0.006223479589029932,0.013426176922866885,-0.003904732249083365,-0.003115024760578134,-0.006831856278319763,-0.006934149124376059,-0.009482286171806393,-0.005657788645442905,-0.004022090653185036,-0.00392646228667123,-0.018204117148984622,0.0035745532325174496
employment,8,-0.0059365388659094655,0.010730067299863609,-0.0022394301556314324,-0.00588748228116393,-0.005302654683250004,-0.005885941353260349,-0.010096939814461489,-0.005662627223083785,-0.0037176311061442877,-0.004689584537510842,-0.026308508491279404,0.004648910977373907
employment,9,-0.003521609868545398,0.005535878100536198,-0.0012798477128034334,-0.007684272733810766,-0.00478726226107411,-0.005810282887026179,-0.011678151883052207,-0.003012581728875672,-0.0040602604889270035,-0.004403223076034686,-0.018878783779182694,0.0030662581942944105
employment,10,0.004004801177873142,0.009961932157062202,-0.0019059269564989138,-0.0018599754742158721,-0.004227070493933359,-0.003983258284151294,-0.00964868075258988,-0.0010555619104377992,-0.0030240457557929954,-0.004148949951261817,-0.005209987987057547,0.0014292535504101776
employment,11,0.006586170247708403,0.010801044803132478,-0.0006287789925087816,0.0005756750083303702,-0.0034085369976714726,-0.004109314740666769,-0.008686485100567696,-0.0007783157966629465,-0.0002554851182264362,-0.0038696558514997137,-0.001640933210880738,0.00038376663586163793
employment,12,0.009484321298045089,0.007729530751988598,-0.004673258393008447,0.0033244404679478503,-0.005343042238572303,-0.0029243839480709902,-0.006513920910639992,-0.004745375088419099,-0.0026868994871303026,-0.006678814295837115,-0.0087767784336326,0.0007591730199741959
employment,13,0.014260861023921989,0.005336937495283223,-0.00354387237968586,0.003909014558434307,-0.004276222328852596,-0.0059133595773804394,-0.00716070864554163,-0.005147206928738031,-0.0005796494255010981,-0.004771718014698929,-0.005601316337498943,0.001738705517494195
employment,14,0.014349446231365996,0.008292183491297251,-0.0016679137711264683,0.0005404186716245932,-0.004931809606942648,-0.004544505878227543,-0.01125176286050549,-0.0024183618786928025,-0.0009340260926337726,-0.004865554547967185,-0.005578733729446475,0.000818740504604377
employment,15,0.012957460576751997,0.00837575424492517,-0.0019115554361934881,-0.0016618523350168239,-0.006771041830534962,-0.0046195846563710325,-0.009481083480416522,-0.0010927740054946294,-0.0040426929634607145,-0.0049866840404324785,-0.004258755608872431,-0.0006261430553008103
employment,16,0.0037270876798660077,0.00940634254819224,-0.00371635980504684,-0.0008480962734760895,-0.007821536207567611,-0.006603439425695892,-0.007083190947546307,-0.0036258609223774997,-0.00436837888146084,-0.0079024619384939,-0.0044378670242382024,-9.985637896792207e-6
employment,17,-0.0017263971123353354,0.01439848106674787,-0.004420026759226093,-0.0016998157234315268,-0.0053363418743106305,-0.004278719660749768,-0.0055255367920288186,-0.001968398840797365,-0.004421260342756869,-0.007696777520394296,-0.001470484797878107,0.0009244913328275321
employment,18,-0.010587172088441264,0.015939719569063704,-0.008303249553769388,-0.002346843353110726,-0.00702103677498415,-0.008398122387020956,-0.0017480476381420969,-0.0032181735784538165,-0.0060117897183278495,-0.009817378521645785,-0.006841766168548898,0.0008053401124000782
employment,19,-0.01289763763702263,0.017867463563302516,-0.012245353236664595,-0.004528977746356057,-0.009495834489484472,-0.009739217480611633,-0.004744269117718241,-0.006239203297172799,-0.00819133808253326,-0.009164001225276566,-0.01851907974960985,0.0010092358585482492
employment,20,-0.007388052636475364,0.015989887371002882,-0.012593964043978261,-0.006089242970427472,-0.009070854168084421,-0.00835907071512873,-0.007939403317512604,-0.004420543640828763,-0.006804700436641875,-0.010144102741146067,-0.02308248450121277,0.0020438410381063226
employment,21,-0.003279128586522838,0.009859314879786136,-0.011707379505216328,-0.008900183677879647,-0.010085158452058401,-0.007953007969406945,-0.006314684088849124,-0.0023865301288558656,-0.007441068994653629,-0.010714909715383969,-0.01614847842658046,-0.00019733524930595759
employment,22,-0.0017993214088287877,0.012858197574653236,-0.009626230383243459,-0.005749305952396847,-0.007308679285629805,-0.010194825748831567,-0.004563738050349984,-0.0017487666487087236,-0.005214653048585479,-0.01288747792278956,-0.006715850690991148,-0.0013868252087794273
employment,23,-0.000474773801564736,0.0119045172416225,-0.009615423779141615,-0.004322700821432039,-0.008058509047420503,-0.008576379536044482,-0.004681923632710582,-0.006001701129048985,-0.002584499863918441,-0.015067174972794348,-0.004997875985534396,-0.003771796614955188
employment,24,-0.0003160833011970416,0.012913951282595877,-0.013020579757214193,-0.0022686957954179904,-0.0079306457540869,-0.008229846343182643,-0.00491381601241385,-0.008995941386400022,-0.0026416398933784874,-0.015566860956337905,-0.011809634053383818,-0.002526096639964093
employment,25,0.010554022623176344,0.018922180463680254,-0.006408340344611053,-0.0014953018928577082,-0.0057484026931466535,-0.008390705923472512,-0.004307222530658728,-0.007952241849603024,-0.005118018674808616,-0.0156338895939398,-0.012166936471477255,-0.0019349130026663664
employment,26,0.012924340319202712,0.020193343981656984,-0.0016736769560107994,-0.0010161981368767437,-0.00562735504936258,-0.004186820041654406,-0.0023805648279125063,-0.003795516901997918,-0.0038261359002163104,-0.010716907007380833,-0.007688983196083408,-0.0023301691764086993
employment,27,0.010530210843082564,0.0179375030031147,-0.0038605018337370066,-0.0032253205765841514,-0.006849824009706854,-0.006189198026784477,-0.0058070125359704705,-0.0035971935444192716,-0.006250635124814701,-0.01039924829402334,-0.008647999634906589,-0.004145734736877529
employment,28,0.004515254593532092,0.01186923813341852,-0.008519853377306031,-0.005867413372044508,-0.007502069199757521,-0.009079160226753534,-0.006536695192605334,-0.004025952626393244,-0.007270137769860576,-0.009601039591104405,-0.011190820569100705,-0.0037287048058130758
employment,29,0.0022556228608439214,0.007679741146333026,-0.013055927973324532,-0.0031601233119669795,-0.009330038102588319,-0.007765478367447472,-0.008463709072037832,-0.0054643794849465665,-0.007933572912638952,-0.009251385664594085,-0.013265920410278855,-0.0033905110810723313
employment,30,0.0004897462566083631,0.008811853557468653,-0.013922733098240159,-0.00522632813811681,-0.008267545803788842,-0.010712768495387983,-0.012140797436688893,-0.00640295246245528,-0.009475570390685415,-0.00833583720619202,-0.014644447761460134,-0.0025973909164123377
employment,31,-0.004104418703827631,0.01482917958438082,-0.014504227314646376,-0.0005795504419458284,-0.00950781803316121,-0.013034790847258334,-0.010291302280998886,-0.007600768210538652,-0.007923868007549009,-0.00610543245497711,-0.021825269980902725,-0.0009372776082503503
employment,32,-0.004338887653884498,0.016653397191728092,-0.015178553206018306,-0.0035156362822637128,-0.009665630812891618,-0.011958835147436746,-0.013103241330174561,-0.0062558071113251465,-0.007511506684014929,-0.0066310629179953135,-0.024986093631219525,0.0013670283646900559
employment,33,-0.00421477249467951,0.011308308620816363,-0.012602626294593165,-0.004623801326625369,-0.005728510768095806,-0.01228604070894306,-0.007423519351562414,-0.00440956588771329,-0.005571823380575639,-0.01044314686176849,-0.016001860909907614,3.895416771646759e-5
employment,34,0.0019079597832101316,0.012285866842624482,-0.00979659308226567,-0.005742330852831913,-0.0056202626863877435,-0.009572857583142337,-0.005205123130893063,-0.0024791728804877842,-0.003059913031186206,-0.01322655992078898,-0.006852051298768534,-0.001283408422590719
employment,35,0.0019332863344913075,0.013033822032750986,-0.009791187177436558,-0.005372961321735973,-0.0031468071173845797,-0.004660942769633611,-0.006517236952522405,-0.0014454353806339778,-0.0021550939552154006,-0.010879261640546525,-0.002650809965004308,-0.0010325156433190507
employment,36,0.00661347300142508,0.015855018430760693,-0.00744830435907593,-0.004951703112404483,-0.0045505398936582595,-0.006205007027854858,-0.004492699613914594,-0.0031395407946382967,-0.003589655280940539,-0.011733285429142282,-0.007130683231166569,0.0009456320203355471
hourly_rate,0,-0.008139941152163937,-0.0121255517554854,-0.0019616099673571063,-0.0035134908025977094,0.0006498293303573206,0.002092137431554902,0.003198663815414868,0.0019873797333621345,-0.0010014881331764343,-0.0020238154668408533,0.005103795039669626,0.0005383363224275566
hourly_rate,1,-0.0037835782075020734,0.009086569237784156,-0.0020302947652701495,-0.004031619761395591,0.00021016499291117737,0.0004882884070097227,-0.0025560257901023034,-0.0035592068540270068,-0.0016080814825911002,-0.005744748745843234,-0.0013356015958913756,0.0004700373794532194
hourly_rate,2,-0.010317912577451488,-0.008785169513595622,0.00042662991686638434,-0.0021509335749976713,-0.0028899324383729113,-0.0018201314032021676,0.0021599784029330037,-0.0024539419190160315,-0.0031553322337320596,-0.007194014968612701,0.0007887189341815945,-0.0032066451091969706
hourly_rate,3,-0.00338824233137452,-0.0013579650198022144,0.0022031790960920965,0.004079718414937873,0.0014661878457498498,-0.0021765277838810804,-0.003426515264330031,-0.000713443373794643,0.0017574002945367293,-0.002489137236859611,0.004174343131224369,0.0005681796027166466
