ind_group,ind_label,W_full,H_full,p_full,W_short,H_short,p_short,W_long,H_long,p_long,peak_horizon,peak_beta,peak_boot_se,bh_reject_full,bh_reject_short,bh_reject_long,persistence_type
1,Agriculture_forestry_fishing,178.96487158145794,37,0.0,57.577241296794654,12,0.0,53.08862815877764,13,0.0,31,-0.027814839734790018,0.008258545784264555,true,true,true,Persistent
2,Mining,27.412747268302734,37,0.884,12.912563876546336,12,0.384,7.314125603002774,13,0.89,11,0.02360287702091681,0.009384858694835714,false,false,false,Not_significant
3,Construction,29.567377422288867,37,0.808,5.841086762685961,12,0.934,13.827347831490526,13,0.396,35,-0.009396033400875867,0.004330448095836624,false,false,false,Not_significant
4,Manufacturing_nondurable,45.455036439478306,37,0.182,12.667600216958531,12,0.4,14.767961891297473,13,0.316,10,-0.011084366484129525,0.0052339340710545424,false,false,false,Not_significant
5,Manufacturing_durable,23.791703864686408,37,0.968,1.768990159396399,12,0.996,12.637955334725998,13,0.464,12,-0.007758930740671895,0.004806412032740564,false,false,false,Not_significant
6,Transportation_utilities,16.488775793472634,37,1.0,4.321725838368763,12,0.984,6.801794568819373,13,0.898,24,0.006163156613803017,0.004090887459572508,false,false,false,Not_significant
7,Wholesale_trade,28.754533549352875,37,0.844,10.802104624838671,12,0.548,8.901252186509153,13,0.778,3,-0.010505565130994595,0.005981477373542467,false,false,false,Not_significant
8,Retail_trade,104.25980461894169,37,0.0,31.941729833057295,12,0.002,31.267233909994122,13,0.002,22,-0.01312067980386835,0.004006966900937556,true,true,true,Persistent
9,Finance_insurance_realestate,96.6464148224327,37,0.0,30.567027256531272,12,0.0,26.667084844218397,13,0.006,35,-0.011598239722239312,0.004668918389382262,true,true,true,Persistent
10,Business_repair_services,198.8393392124971,37,0.0,56.07448637441606,12,0.0,72.43584376037394,13,0.0,32,-0.01901447738302705,0.005842498074431089,true,true,true,Persistent
11,Personal_entertainment_services,34.845209649099466,37,0.586,17.64946013383937,12,0.14,8.943199558122329,13,0.812,7,0.010704128294745785,0.005212817514927577,false,false,false,Not_significant
12,Professional_related_services,38.979488835018,37,0.386,13.98531482802339,12,0.288,14.520877082501215,13,0.352,20,-0.006560625749632173,0.003865873692797478,false,false,false,Not_significant
13,Public_administration,45.465982178378546,37,0.156,19.005656427674854,12,0.1,9.70913460362659,13,0.718,17,-0.008059069060845267,0.004033952503331429,false,false,false,Not_significant
