ind_group,ind_label,horizon,beta_abs,boot_se,p_value,bh_reject
1,Agriculture_forestry_fishing,0,-0.014133863396185397,0.005840064300679174,0.02,false
1,Agriculture_forestry_fishing,1,-0.015029982748573896,0.006012788206529302,0.012,false
1,Agriculture_forestry_fishing,2,-0.018679969320721825,0.0062825949106408915,0.0,true
1,Agriculture_forestry_fishing,3,-0.020563996564453284,0.006123712788727804,0.0,true
1,Agriculture_forestry_fishing,4,-0.004315786087964432,0.006960656258595359,0.52,false
1,Agriculture_forestry_fishing,5,-0.011775063908308188,0.0063103153032737,0.052,false
1,Agriculture_forestry_fishing,6,-0.01573199280811246,0.007485146297745728,0.024,false
1,Agriculture_forestry_fishing,7,-0.013741518936473787,0.006863374846774354,0.068,false
1,Agriculture_forestry_fishing,8,-0.013386396984114136,0.006728792569610751,0.04,false
1,Agriculture_forestry_fishing,9,-0.010573694923526809,0.007462001161491053,0.16,false
1,Agriculture_forestry_fishing,10,-0.012223537753979873,0.0075626119087635855,0.12,false
1,Agriculture_forestry_fishing,11,-0.022566832093470848,0.006950850541767157,0.0,true
1,Agriculture_forestry_fishing,12,-0.015774865571608364,0.007890711070182651,0.036,false
1,Agriculture_forestry_fishing,13,-0.023572509752277822,0.007042316322970835,0.0,true
1,Agriculture_forestry_fishing,14,-0.015541111393633948,0.007679039231593715,0.044,false
1,Agriculture_forestry_fishing,15,-0.023905063274250307,0.007413255660590286,0.004,false
1,Agriculture_forestry_fishing,16,-0.008093880930745817,0.007025063909007168,0.268,false
1,Agriculture_forestry_fishing,17,-0.01978450898449033,0.0073801898871874265,0.0,true
1,Agriculture_forestry_fishing,18,-0.018906322491620515,0.007557815860489393,0.012,false
1,Agriculture_forestry_fishing,19,-0.012456980553617297,0.007683750832622554,0.088,false
1,Agriculture_forestry_fishing,20,-0.009517005299062527,0.006971769596622238,0.18,false
1,Agriculture_forestry_fishing,21,-0.013518785638724773,0.007243810379773502,0.076,false
1,Agriculture_forestry_fishing,22,-0.01484731591760009,0.008921789838421242,0.124,false
1,Agriculture_forestry_fishing,23,-0.024576407651632194,0.006850380551517467,0.0,true
1,Agriculture_forestry_fishing,24,-0.018119593831626844,0.008019159989460923,0.032,false
1,Agriculture_forestry_fishing,25,-0.017557709957214743,0.007564910727519133,0.028,false
1,Agriculture_forestry_fishing,26,-0.006364773462343891,0.008574432596147725,0.52,false
1,Agriculture_forestry_fishing,27,-0.011706540129099214,0.007788646686382435,0.12,false
1,Agriculture_forestry_fishing,28,-0.01853797722978451,0.007906051555924757,0.024,false
1,Agriculture_forestry_fishing,29,-0.014231764971694365,0.009157615597574722,0.156,false
1,Agriculture_forestry_fishing,30,-0.013499893437791522,0.00855377603042221,0.132,false
1,Agriculture_forestry_fishing,31,-0.027814839734790018,0.008258545784264555,0.0,true
1,Agriculture_forestry_fishing,32,-0.019879748995790328,0.007712944732686846,0.016,false
1,Agriculture_forestry_fishing,33,-0.010694931611585289,0.009092341838329179,0.304,false
1,Agriculture_forestry_fishing,34,-0.01415657186065351,0.007205156750158209,0.052,false
1,Agriculture_forestry_fishing,35,-0.012307061494000036,0.007318617697589035,0.104,false
1,Agriculture_forestry_fishing,36,-0.00983745428537013,0.0070693983698067306,0.236,false
2,Mining,0,-0.006347246024349241,0.008578553789727368,0.364,false
2,Mining,1,0.01842860495911728,0.010967986409949988,0.144,false
2,Mining,2,-0.0030617770816046097,0.010828959472223216,0.8,false
2,Mining,3,-0.00792657978796824,0.01144964026050576,0.528,false
2,Mining,4,-0.006054568940288412,0.010557484043685826,0.584,false
2,Mining,5,0.001476140142340621,0.009828704350616215,0.892,false
2,Mining,6,-0.0024528415671580253,0.011991468261197577,0.86,false
2,Mining,7,0.01359971030451464,0.009904231729287746,0.18,false
2,Mining,8,0.0024408690916710492,0.012014932776707787,0.892,false
2,Mining,9,-0.006016475245639022,0.010644208604606908,0.58,false
2,Mining,10,0.0016083016286986078,0.011095251915460588,0.848,false
2,Mining,11,0.02360287702091681,0.009384858694835714,0.004,false
2,Mining,12,-0.0007411788600932047,0.01107261094549219,0.94,false
2,Mining,13,0.0017514202470857207,0.009622279264524958,0.896,false
2,Mining,14,0.0001619218951621997,0.010785474479583957,1.0,false
2,Mining,15,-0.021621050309851234,0.01039313949567241,0.032,false
2,Mining,16,0.013053595401989578,0.011737227052794058,0.26,false
2,Mining,17,-0.00013154018830079594,0.011533899241566687,0.96,false
2,Mining,18,0.01232470985879459,0.0107961211741323,0.26,false
2,Mining,19,-0.00774952695815394,0.010671198803552375,0.428,false
2,Mining,20,-0.004160129006564139,0.01151764874004935,0.636,false
2,Mining,21,-0.006131783162774924,0.012693888245387693,0.632,false
2,Mining,22,-0.00027596740113012554,0.01152520007066619,1.0,false
2,Mining,23,0.0017231476459588701,0.010869741246252373,0.844,false
2,Mining,24,-0.006420813078952611,0.011813146675829393,0.612,false
2,Mining,25,-0.00854144552539502,0.01014636211116415,0.384,false
2,Mining,26,0.006443773356969758,0.009069269984679424,0.436,false
2,Mining,27,-0.0033938378834168803,0.012895987147984775,0.812,false
2,Mining,28,0.012099410239872169,0.01207287812393393,0.272,false
2,Mining,29,0.0010348874262866529,0.011511762483325276,0.872,false
2,Mining,30,-0.017849882885294342,0.012284164640187775,0.176,false
2,Mining,31,0.0029254281662456213,0.011731572959894108,0.88,false
2,Mining,32,-0.009779643665264702,0.011669313801504218,0.452,false
2,Mining,33,-0.008460096874415117,0.012278626367606519,0.552,false
2,Mining,34,-0.005690350519343519,0.011075210633987606,0.648,false
2,Mining,35,-0.005409673612648258,0.013380997863006743,0.716,false
2,Mining,36,-0.008112981567671365,0.01136248086007651,0.488,false
3,Construction,0,-0.0008096410756774603,0.003451481510534194,0.74,false
3,Construction,1,-0.0026576290577897395,0.003930135046821106,0.44,false
3,Construction,2,0.0010181198058074323,0.00357639007183345,0.852,false
3,Construction,3,-0.00030655545353769576,0.0037410195862851063,0.876,false
3,Construction,4,-0.005653288018084647,0.004483471932224678,0.24,false
3,Construction,5,0.001430197247468547,0.004722449539284772,0.772,false
3,Construction,6,0.004795455978552084,0.0038735888149107308,0.168,false
3,Construction,7,0.0009551787717004918,0.004290201416851603,0.864,false
3,Construction,8,0.003060854143110064,0.0037354366292878007,0.456,false
3,Construction,9,-0.0033006451233138384,0.004227606871466452,0.512,false
3,Construction,10,-0.00048552946818656645,0.004222034703470434,0.948,false
3,Construction,11,0.0023736306914212612,0.00367273261207102,0.536,false
3,Construction,12,-0.0024922152682801068,0.00441996022484595,0.556,false
