occ_id,Occupational_Group,Plot_Label,task_abstract,task_routine,task_manual
1,group1_Managerial,Managerial,6.6498565918997805,2.551007454782252,0.4185861581181451
2,group2_Professional_specialty,Prof.,5.201768046841373,3.760444977168745,1.278474578192888
3,group3_High_tech,High Tech,5.270634150663304,5.442518418580114,0.9959354110238694
4,group4_Sales,Sales,2.30377454165445,2.647265424568607,0.37881874685757894
5,group5_Administrative_support,Admin,2.3391314018616036,5.333257164249304,0.2204110028876943
6,group6_Service,Service,1.1954308450476947,2.4308198120037146,1.6022550546506165
7,group7_Farming_forestry_construction,Constr./Farm,2.3361823535471222,5.836463206855397,2.9314235861954288
8,group8_Precision_production_repair,Prod./Repair,2.4281536551965717,6.928135967122102,1.5667984158106814
9,group9_Machine_operators_transport,Mach./Transp.,0.8911292264882349,3.515737236919343,2.185799469928735
