ind_group,ind_label,W_full,H_full,p_full,W_short,H_short,p_short,W_long,H_long,p_long,peak_horizon,peak_beta,peak_boot_se,bh_reject_full,bh_reject_short,bh_reject_long,persistence_type
1,Agriculture_forestry_fishing,27.766867754495888,37,0.862,10.515174632834182,12,0.576,8.594777886356566,13,0.806,36,0.00029637664647501257,0.00020722646064001864,false,false,false,Not_significant
2,Mining,23.993981140140924,37,0.956,18.09953095821685,12,0.11,2.159958253814165,13,1.0,0,-0.0004965632635681674,0.00017709072090582579,false,false,false,Not_significant
3,Construction,28.373882427496092,37,0.844,17.765341417765327,12,0.118,3.033588043138427,13,1.0,6,0.0008762283268794469,0.0004625765585932967,false,false,false,Not_significant
4,Manufacturing_nondurable,37.81209644840143,37,0.444,13.715752556593422,12,0.304,9.977512202704728,13,0.704,13,0.0007544612191863725,0.0003677316550314171,false,false,false,Not_significant
5,Manufacturing_durable,18.047838586783914,37,0.998,9.527127525060159,12,0.642,3.856809367709439,13,0.996,29,-0.0009463196321417097,0.0006601283383598014,false,false,false,Not_significant
6,Transportation_utilities,21.88659841735941,37,0.976,7.8538932636321235,12,0.802,5.501196259816019,13,0.96,16,-0.0008562874923168371,0.0005382073872060849,false,false,false,Not_significant
7,Wholesale_trade,23.387507528950888,37,0.976,8.798086274666552,12,0.712,6.217818471832325,13,0.938,18,0.0005902627581615809,0.00039424581070861254,false,false,false,Not_significant
8,Retail_trade,74.45670913257246,37,0.002,15.557752280317526,12,0.204,32.28614836068623,13,0.004,26,-0.0014642031626653483,0.0005748554237418853,true,false,true,Delayed_persistent
9,Finance_insurance_realestate,50.8045308019087,37,0.046,19.45737787475476,12,0.07,11.645771107648855,13,0.572,17,-0.0014116462919348837,0.0005220109752672121,false,false,false,Not_significant
10,Business_repair_services,63.17859031287906,37,0.0,9.152996921305155,12,0.69,36.082305111630696,13,0.0,25,-0.0014767202171989417,0.0005418734057820162,true,false,true,Delayed_persistent
11,Personal_entertainment_services,112.37278891432412,37,0.0,18.7300006269402,12,0.1,57.73880877291732,13,0.0,29,-0.0010454624418808301,0.0003232532852602673,true,false,true,Delayed_persistent
12,Professional_related_services,108.19793541300939,37,0.0,33.78650218444723,12,0.002,34.07322538846489,13,0.0,19,0.0031230314722372125,0.0009922716114396572,true,true,true,Persistent
13,Public_administration,22.47086336639252,37,0.972,11.175123580630025,12,0.506,4.729449956026781,13,0.978,8,-0.0007165318382364924,0.00039573727229882564,false,false,false,Not_significant
