horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.008421029815300683,-0.02317273414762877,0.004394621550936012,-0.016190375783560265,7.0008834727047775e-6
1,0.0023611250969723693,-0.013673158658196159,0.01735064402967113,-0.006645484014699348,0.011309691042779738
2,0.015259145797434344,-0.007486499060646521,0.034558941324908304,0.0008714109111750534,0.026343108532177667
3,0.011118027741495699,-0.0018165221942758013,0.024444216875420283,0.002727594988173307,0.01954303284433327
4,0.0085368128990524,-0.008738869726188234,0.02492680722650975,-0.0018451460281616542,0.017984005533565384
5,-0.01897091857239905,-0.03444894516808117,-0.0032094950888873486,-0.027249515768399214,-0.009186049775064382
6,-0.010074678134549077,-0.023853011407339243,0.004459870275116951,-0.01842195151365083,-0.0013417968526754954
7,0.016286840678085005,0.003551752169770956,0.029874637181510746,0.007627381646424666,0.023671453997218185
8,-0.005680074901221114,-0.020062140195361462,0.008647610419679179,-0.013587493307771769,0.0028351518283402637
9,-0.0008974555535338501,-0.01353028174865166,0.013534398556612873,-0.008692135431933902,0.00786130514642628
10,0.005217867763366188,-0.008838456739208765,0.018661306871805883,-0.0023688142832422304,0.012813247786407994
11,0.008030004207817498,-0.008429809679226638,0.025458484979849712,-0.0009905865050197984,0.018002047168924118
12,-0.028826176035239657,-0.04624678535922869,-0.014999084781799668,-0.038976053523588225,-0.02040204833731773
13,0.008828414007338664,-0.005560400549373063,0.022095791729711822,4.158160993757154e-5,0.015731047104370493
14,0.005875576146259938,-0.005791732314255231,0.01733502604910562,-0.0007695243379479697,0.012758131059601668
15,0.00923064583100909,-0.00807759869373188,0.023655926446411835,9.511915624911028e-5,0.017269681320972563
16,-0.00808026880177212,-0.02640617290438814,0.009197791894623995,-0.01868528526321544,0.0026404478695742084
17,0.006377921214956986,-0.007892878197210063,0.02030539276361875,-0.0015074966682631363,0.014499856785569512
18,-0.020874503856432306,-0.05047696141448295,-0.0031317349209160038,-0.03736191504320111,-0.010722585693433732
19,-0.003579571931237108,-0.013518675979989228,0.00834464405849713,-0.01018818455307461,0.00346466387581439
20,0.006684893015741653,-0.005973172830243719,0.021604453623410638,-0.0013205590937479745,0.015234076151697886
21,0.0043304740068178665,-0.013129936635759568,0.017371803940264968,-0.006018238038175187,0.012313718171675734
22,0.0008051824512498772,-0.013074339669833545,0.01404274678526302,-0.0071362079795189905,0.008379138821075997
23,0.019772802582664912,0.005205980184733056,0.03967530680058082,0.010475123145712641,0.031096422860859528
24,-0.0026051819884832707,-0.012925169662955554,0.00965457545837344,-0.00873108037165119,0.005121950539341653
25,0.009468448750460465,-0.004850787969842075,0.02556764324390052,0.0009553088193035141,0.019201720623568196
26,-0.015967531016424025,-0.033675211787477684,-0.00047246013097431566,-0.027298537214045404,-0.00659487571370591
27,0.008064385417611565,-0.0023260291772840887,0.018463969551173968,0.0016535818786771305,0.01423725290259249
28,0.009602847155340407,-0.0037261280904917534,0.02807324019401463,0.0017444440398262425,0.020953030029229276
29,-0.0077515404214275815,-0.02521120325805315,0.007272890090714154,-0.018637116990891753,0.0014751828204555943
30,-0.00765367241974092,-0.02094762386769686,0.004362392810789188,-0.01586060496625333,-0.001012452187995172
31,0.021155903072758487,0.0075925209302985675,0.03961909259609362,0.012187549809010875,0.03029682321893338
32,0.005385868569491655,-0.007744207570918627,0.019130562993071323,-0.0014845917975883265,0.013334789426296827
33,-0.003388480005502038,-0.0187046122921058,0.008534591187187423,-0.012104557871238594,0.0034679155535388547
34,0.017017334809474403,0.004201925423446886,0.02959280816805049,0.009052093010502648,0.023854991496899066
35,0.0006160669190978731,-0.012425160711326927,0.01623783312384513,-0.00725455620303629,0.008727787190639616
36,-0.015093782170071044,-0.026474418241555896,-0.003433093522282776,-0.022620073928752413,-0.007524729376740306
