outcome,H,n_obs,R2_industry_only,R2_occupation_only,R2_industry_occupation,AdjR2_industry_only,AdjR2_occupation_only,AdjR2_industry_occupation,Incremental_R2_occupation_given_industry,Incremental_R2_industry_given_occupation,Incremental_AdjR2_occupation_given_industry,Incremental_AdjR2_industry_given_occupation,Shapley_R2_industry,Shapley_R2_occupation,Shapley_share_industry,Shapley_share_occupation,Shapley_check,df_model_industry_only,df_model_occupation_only,df_model_industry_occupation,df_resid_industry_only,df_resid_occupation_only,df_resid_industry_occupation
employment,12,36,0.08692153014560033,0.2335881586699654,0.32050968881556596,0.0013204235967503308,0.006503168646251556,0.009076629522700386,0.23358815866996563,0.08692153014560056,0.007756205925950055,0.00257346087644883,0.08692153014560045,0.23358815866996552,0.2711978238998527,0.7288021761001473,0.0,3,8,11,32.0,27.0,24.0
employment,24,36,0.17974972090362873,0.09466256761463787,0.2744122885182665,0.10285125723834387,-0.17358556049954355,-0.05814874591086139,0.09466256761463776,0.17974972090362862,-0.16100000314920526,0.11543681458868216,0.17974972090362867,0.09466256761463782,0.6550352459586134,0.3449647540413866,0.0,3,8,11,32.0,27.0,24.0
employment,36,36,0.127695833989932,0.08681442744188039,0.21451026143181207,0.04591731842648816,-0.18375907553830317,-0.14550586874527416,0.08681442744188006,0.12769583398993167,-0.19142318717176232,0.038253206793029015,0.12769583398993184,0.08681442744188023,0.5952900953902546,0.4047099046097455,0.0,3,8,11,32.0,27.0,24.0
hourly_rate,12,35,0.0878736627717005,0.2473524235642196,0.3317633214102278,-0.0003966279278122542,0.015768553891671755,0.01217186643251078,0.2438896586385273,0.08441089784600819,0.012568494360323035,-0.0035966874591609743,0.08614228030885435,0.24562104110137345,0.2596498007757126,0.7403501992242875,0.0,3,8,11,31.0,26.0,23.0
hourly_rate,24,35,0.0780084331343841,0.24794027286058262,0.3215839857855609,-0.011216557207449629,0.01653727989460796,-0.002875847099605755,0.2435755526511768,0.07364371292497829,0.008340710107843874,-0.019413126994213714,0.0758260730296812,0.24575791275587971,0.2357893315006166,0.7642106684993835,0.0,3,8,11,31.0,26.0,23.0
hourly_rate,36,35,0.06842543037608917,0.2538545950866449,0.3176140364762359,-0.021726947329450574,0.024271393574843314,-0.008744467817738188,0.2491886061001467,0.063759441389591,0.012982479511712386,-0.0330158613925815,0.06609243588284008,0.2515216005933958,0.20809041255261138,0.7919095874473886,0.0,3,8,11,31.0,26.0,23.0
hours,12,35,0.17088343768916814,0.0916722586537474,0.26730793440768075,0.09064635101392637,-0.18781320022202252,-0.08311001000603713,0.09642449671851261,0.17563567575393335,-0.1737563610199635,0.1047031902159854,0.17325955672155074,0.09404837768613,0.6481646611256457,0.3518353388743542,0.0,3,8,11,31.0,26.0,23.0
hours,24,35,0.23310981348013438,0.1269944490794911,0.37594457993375563,0.15889463413950222,-0.14162264351143472,0.07748329207598648,0.14283476645362125,0.24895013085426454,-0.08141134206351575,0.2191059355874212,0.24102997216719946,0.13491460776655617,0.6411316588462874,0.3588683411537125,0.0,3,8,11,31.0,26.0,23.0
hours,36,35,0.26056746340571335,0.17969728571053822,0.45537372800534337,0.18900947599336304,-0.07270354945544999,0.19490029357311622,0.19480626459963002,0.27567644229480515,0.0058908175797531825,0.2676038430285662,0.26812195285025925,0.18725177515508412,0.5887953923576221,0.4112046076423779,0.0,3,8,11,31.0,26.0,23.0
income,12,35,0.08480465232973156,0.2493130137760643,0.32992975977692596,-0.003762639380294308,0.018332402630237832,0.0094613840180644,0.2451251074471944,0.08061674600086166,0.013224023398358709,-0.008871018612173431,0.08271069916529661,0.24721906061162935,0.25069184186724913,0.7493081581327509,0.0,3,8,11,31.0,26.0,23.0
