outcome,H,n_obs,R2_industry_only,R2_occupation_only,R2_industry_occupation,AdjR2_industry_only,AdjR2_occupation_only,AdjR2_industry_occupation,Incremental_R2_occupation_given_industry,Incremental_R2_industry_given_occupation,Incremental_AdjR2_occupation_given_industry,Incremental_AdjR2_industry_given_occupation,Shapley_R2_industry,Shapley_R2_occupation,Shapley_share_industry,Shapley_share_occupation,Shapley_check,df_model_industry_only,df_model_occupation_only,df_model_industry_occupation,df_resid_industry_only,df_resid_occupation_only,df_resid_industry_occupation
income,24,35,0.07246833797924557,0.2554295310845537,0.3226900369058051,-0.01729279060340816,0.026330925264416383,-0.0012408150088099035,0.25022169892655954,0.06726050582125143,0.016051975594598256,-0.027571740273226286,0.0698644219002485,0.2528256150055566,0.21650628748926104,0.783493712510739,0.0,3,8,11,31.0,26.0,23.0
income,36,35,0.06361097577571806,0.2601451648339935,0.3183599355260893,-0.027007316891147992,0.0324975232444531,-0.007641834439694017,0.25474895975037126,0.058214770692095796,0.019365482451453975,-0.040139357684147114,0.06091287323390693,0.2574470622921824,0.191333350828987,0.808666649171013,0.0,3,8,11,31.0,26.0,23.0
income_share_var,12,35,0.012141432201129287,0.3076762165818958,0.3182728418885159,-0.08345778403747106,0.09465351399170996,-0.007770581556106881,0.3061314096873866,0.010596625306620089,0.07568720248136418,-0.10242409554781684,0.011369028753874688,0.3069038131346412,0.03572101435490061,0.9642789856450994,0.0,3,8,11,31.0,26.0,23.0
income_share_var,24,35,0.009543335313629941,0.3179684362387517,0.3273211817111479,-0.08630730965601896,0.10811257046605993,0.005605225138218706,0.31777784639751794,0.009352745472396173,0.09191253479423767,-0.10250734532784123,0.009448040393013057,0.3178731413181348,0.028864738736494904,0.9711352612635051,0.0,3,8,11,31.0,26.0,23.0
income_share_var,36,35,0.018570551507004485,0.31231776132149236,0.3316289806427013,-0.0764064918955436,0.10072322634349007,0.011973275732688915,0.3130584291356968,0.01931121932120894,0.08837976762823252,-0.08874995061080115,0.018940885414106712,0.3126880952285946,0.057114686953471404,0.9428853130465286,0.0,3,8,11,31.0,26.0,23.0
inequality,12,35,0.0975132164105249,0.22233202428458254,0.316895939597609,0.010175785740575649,-0.016950429781699805,-0.009806002333969221,0.21938272318708407,0.09456391531302644,-0.01998178807454487,0.007144427447730584,0.09603856586177567,0.2208573737358333,0.30306026004537767,0.6969397399546223,0.0,3,8,11,31.0,26.0,23.0
inequality,24,35,0.10480542139234961,0.20756652431235267,0.3091465462338526,0.018173687978706,-0.03625916051461564,-0.021261627306478736,0.20434112484150302,0.10158002192149995,-0.039435315285184736,0.014997533208136904,0.10319272165692478,0.20595382457692785,0.33379872074930145,0.6662012792506986,0.0,3,8,11,31.0,26.0,23.0
inequality,36,35,0.10865701055990629,0.22560812718929268,0.330146070958515,0.022398011581832633,-0.012666295214001755,0.009781148373456894,0.22148906039860872,0.10453794376922232,-0.01261686320837574,0.02244744358745865,0.1065974771645643,0.2235485937939507,0.3228797388231192,0.6771202611768808,0.0,3,8,11,31.0,26.0,23.0
median,12,35,0.08529340748547987,0.24870580045668012,0.33013874225913464,-0.0032265853385058385,0.017538354443350945,0.009770314643938072,0.24484533477365478,0.08143294180245453,0.01299689998244391,-0.007768039799412874,0.0833631746439672,0.24677556761516745,0.25250951788788617,0.7474904821121139,0.0,3,8,11,31.0,26.0,23.0
median,24,35,0.07111471632382615,0.26192544992875255,0.32844276629266855,-0.01877740790290039,0.03482558836836869,0.007263219736988402,0.2573280499688424,0.066517316363916,0.02604062763988879,-0.027562368631380285,0.06881601634387108,0.2596267499487975,0.2095220945817712,0.7904779054182288,0.0,3,8,11,31.0,26.0,23.0
median,36,35,0.060878543941555785,0.260230497125852,0.315944769775105,-0.030004177612487304,0.03260911162611413,-0.01121207946288827,0.2550662258335492,0.055714272649252994,0.018792098149599035,-0.0438211910890024,0.05829640829540439,0.2576483614797006,0.18451455403708944,0.8154854459629106,0.0,3,8,11,31.0,26.0,23.0
unemployment,12,36,0.03036178809905976,0.3902184111622431,0.42058019926130297,-0.06054179426665329,0.2095423848399448,0.1550127905894002,0.3902184111622432,0.030361788099059872,0.2155545848560535,-0.0545295942505446,0.030361788099059817,0.39021841116224315,0.07219024612282399,0.927809753877176,0.0,3,8,11,32.0,27.0,24.0
unemployment,24,36,0.20110527064404116,0.40499440210448046,0.6060996727485216,0.12620888976692002,0.22869644717247462,0.4255620227582607,0.40499440210448046,0.20110527064404116,0.2993531329913407,0.1968655755857861,0.20110527064404116,0.40499440210448046,0.331802308574224,0.668197691425776,0.0,3,8,11,32.0,27.0,24.0
unemployment,36,36,0.2277601345708662,0.42858370040694127,0.6563438349778075,0.15536264718688486,0.2592751671941832,0.4988347593426359,0.42858370040694127,0.2277601345708662,0.343472112155751,0.23955959214845268,0.2277601345708662,0.42858370040694127,0.34701344391932515,0.6529865560806748,0.0,3,8,11,32.0,27.0,24.0
