outcome,H,component,Shapley_R2,Shapley_share
employment,12,Industry,0.08692153014560045,0.2711978238998527
employment,12,Occupation,0.23358815866996552,0.7288021761001473
employment,24,Industry,0.17974972090362867,0.6550352459586134
employment,24,Occupation,0.09466256761463782,0.3449647540413866
employment,36,Industry,0.12769583398993184,0.5952900953902546
employment,36,Occupation,0.08681442744188023,0.4047099046097455
hourly_rate,12,Industry,0.08614228030885435,0.2596498007757126
hourly_rate,12,Occupation,0.24562104110137345,0.7403501992242875
hourly_rate,24,Industry,0.0758260730296812,0.2357893315006166
hourly_rate,24,Occupation,0.24575791275587971,0.7642106684993835
hourly_rate,36,Industry,0.06609243588284008,0.20809041255261138
hourly_rate,36,Occupation,0.2515216005933958,0.7919095874473886
hours,12,Industry,0.17325955672155074,0.6481646611256457
hours,12,Occupation,0.09404837768613,0.3518353388743542
hours,24,Industry,0.24102997216719946,0.6411316588462874
hours,24,Occupation,0.13491460776655617,0.3588683411537125
hours,36,Industry,0.26812195285025925,0.5887953923576221
hours,36,Occupation,0.18725177515508412,0.4112046076423779
income,12,Industry,0.08271069916529661,0.25069184186724913
income,12,Occupation,0.24721906061162935,0.7493081581327509
income,24,Industry,0.0698644219002485,0.21650628748926104
income,24,Occupation,0.2528256150055566,0.783493712510739
income,36,Industry,0.06091287323390693,0.191333350828987
income,36,Occupation,0.2574470622921824,0.808666649171013
income_share_var,12,Industry,0.011369028753874688,0.03572101435490061
income_share_var,12,Occupation,0.3069038131346412,0.9642789856450994
income_share_var,24,Industry,0.009448040393013057,0.028864738736494904
income_share_var,24,Occupation,0.3178731413181348,0.9711352612635051
income_share_var,36,Industry,0.018940885414106712,0.057114686953471404
income_share_var,36,Occupation,0.3126880952285946,0.9428853130465286
inequality,12,Industry,0.09603856586177567,0.30306026004537767
inequality,12,Occupation,0.2208573737358333,0.6969397399546223
inequality,24,Industry,0.10319272165692478,0.33379872074930145
inequality,24,Occupation,0.20595382457692785,0.6662012792506986
inequality,36,Industry,0.1065974771645643,0.3228797388231192
inequality,36,Occupation,0.2235485937939507,0.6771202611768808
median,12,Industry,0.0833631746439672,0.25250951788788617
median,12,Occupation,0.24677556761516745,0.7474904821121139
median,24,Industry,0.06881601634387108,0.2095220945817712
median,24,Occupation,0.2596267499487975,0.7904779054182288
median,36,Industry,0.05829640829540439,0.18451455403708944
median,36,Occupation,0.2576483614797006,0.8154854459629106
unemployment,12,Industry,0.030361788099059817,0.07219024612282399
unemployment,12,Occupation,0.39021841116224315,0.927809753877176
unemployment,24,Industry,0.20110527064404116,0.331802308574224
unemployment,24,Occupation,0.40499440210448046,0.668197691425776
unemployment,36,Industry,0.2277601345708662,0.34701344391932515
unemployment,36,Occupation,0.42858370040694127,0.6529865560806748
