horizon,coef_name,beta,se,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,shock_g1,-0.0003758588100754091,0.00013694918026798265,-0.0005422747122675553,-0.0002025204639598417,-0.0004640845144324952,-0.00027298935403546735
0,shock_g2,-0.0006399098647936632,0.00019683128753978263,-0.0008672489074213868,-0.00032624809569646313,-0.0007635778726061894,-0.0004634500197909741
0,shock_g3,-0.0001179276812906518,0.0004203944742998469,-0.0006938509204802889,0.00039717624465292526,-0.0004407674540764694,0.00016748250792758177
0,shock_g4,0.00023336972762404883,0.0003715690828655204,-0.00021690661514388098,0.0006616582159597924,1.5392459457786627e-6,0.0004960592106361573
0,shock_g5,0.0008190937385010918,0.00044984146131289677,0.0002612060292623917,0.0014429275377611833,0.00048006242286677416,0.0011975366107768077
0,shock_g6,9.252527184911968e-5,0.0005328171060159462,-0.0005923369664179424,0.0007664263075713778,-0.0003053678585566557,0.00047402288465203966
0,shock_g7,0.0002329033861026699,0.0003181980442533449,-0.00020554182346749962,0.0005897105286260994,-5.750566500818506e-5,0.0004504303675451774
0,shock_g8,-0.0002222279021673864,0.00043153222066136086,-0.000785055846277674,0.0003417965075322548,-0.0005435214404070069,9.871928782721702e-5
0,shock_g9,-0.0006650083918184728,0.0005051201763542114,-0.0012914216370324234,0.00012969640881198904,-0.0010397379020092037,-0.00018865281822543807
0,shock_g10,-0.0002177158661136845,0.00043905522882564267,-0.0007178468065139447,0.0003575282562268944,-0.0005454588591004531,0.00011749542924392262
0,shock_g11,-0.0005225683754815352,0.0003449498950769322,-0.0009810836699865309,9.884002889578051e-6,-0.0007737627107707386,-0.00022060401483676355
0,shock_g12,0.001305356470310151,0.0007087866528433967,0.000389981544392164,0.002194960772653144,0.0008324254989559403,0.0018749437155938075
0,shock_lag1,2.3808041840156427e-6,2.948650101499293e-6,-6.08582476784629e-7,5.820940539962377e-6,4.288673675396961e-7,4.711350858178022e-6
0,ylag1,0.9256048876837422,0.009351247348848785,0.9163314181250799,0.9364848010319882,0.9200273725710092,0.9320801818071452
0,log_oil_lag1,-3.588497944574839e-5,2.359478207377559e-5,-6.442746149333306e-5,-8.928183696730021e-6,-5.4456499458830626e-5,-1.9545851301196454e-5
