horizon,coef_name,beta,dk_se,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68,n_boot_valid
0,intercept,0.02412736854514229,0.04164346295137097,0.04983161806594091,-0.06151315377316931,0.12268352190248905,-0.050960682874906106,0.11056333365697904,-0.022225475351986712,0.07768925197995441,500
0,shock,-0.001360979941204842,0.0011351730570900438,0.0011900041613299463,-0.0038810624939218316,0.0005560124557985706,-0.0035693583235231513,0.00033426566414510364,-0.002515395150183968,-0.00023591199542981697,500
0,shock_lag1,0.0006789093181007314,0.000943353985615138,0.0009947535252608785,-0.0009852893247538751,0.0029134385792462057,-0.0006995591206604233,0.002496885019461964,-0.00021740244329194363,0.0016819666444961123,500
0,shock_lag2,-0.0011369417853518318,0.0008491916302132461,0.0008762415347503195,-0.003130284230825496,0.0002299186475770692,-0.0027775942637291396,3.0331335546441698e-5,-0.002038596068295077,-0.0003106500287991783,500
0,log_oil_lag1,-0.0035689684721170057,0.0022037600439094606,0.002686763265550254,-0.009262127086136156,0.001691216765056052,-0.008058619620378696,0.0009245560557478751,-0.006168164092879469,-0.0008949662200361554,500
0,ffr_lag1,-0.00024222281553906036,0.0003272333029453584,0.00030217948641669167,-0.0008694489400646693,0.0002928601172296492,-0.0007585598768445588,0.00021548640578996183,-0.0005562788450695769,3.945680612548351e-5,500
0,lag_gdp,-0.0003782209692354629,0.004954508483848605,0.006086479024887598,-0.012301999151248862,0.01084453974875842,-0.01099509811763666,0.008928836245227962,-0.006693444240511624,0.005281954839297781,500
1,intercept,0.051290545172110305,0.07665548333148658,0.07990773476581246,-0.08793011848620691,0.22842790933944798,-0.06694439521218794,0.20132446199369783,-0.02327299236752096,0.13693953349986243,500
1,shock,-0.0008299687250292984,0.000884161114615346,0.0013749779135954576,-0.0035257397223289206,0.001836393345446369,-0.002973561251968642,0.0012944534829783388,-0.002082206087325032,0.000624162817127219,500
1,shock_lag1,-0.000588654366085255,0.000851261035864242,0.0012141478026104896,-0.0034239570312717582,0.0016471451092765436,-0.0027493051483560575,0.0011072027020180594,-0.0019008323467588377,0.0005021815279568438,500
1,shock_lag2,-0.0009833489630674196,0.0009677007865006333,0.0010639743589786234,-0.003414364777701899,0.0004985547472494151,-0.0027747566214477103,0.00039476771792199954,-0.0021190186535076545,-3.324085733957209e-5,500
1,log_oil_lag1,-0.007351850940106391,0.0038372988512772304,0.0037758496545927086,-0.014840344914444177,-0.0007279702779254092,-0.014268978113638855,-0.0013972382296390416,-0.011019583116648388,-0.0034169371387310593,500
