horizon,beta,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.001360979941204842,0.0011900041613299463,-0.0038810624939218316,0.0005560124557985706,-0.0035693583235231513,0.00033426566414510364,-0.002515395150183968,-0.00023591199542981724
1,-0.0008299687250292984,0.0013749779135954576,-0.0035257397223289223,0.001836393345446369,-0.0029735612519686417,0.0012944534829783388,-0.0020822060873250314,0.0006241628171272191
2,-0.002536385910612872,0.0015148994231471734,-0.00559837492076953,0.00030068307911874356,-0.004799273419216626,-5.5249747102190096e-5,-0.003907183004267044,-0.0009062692276163687
3,-0.002808173325847476,0.001795564284511591,-0.006554719148900092,0.0004353120048971277,-0.005819522301011689,-0.00018996357528161423,-0.004604396786126038,-0.0011492981161509667
4,-0.0032632070523739617,0.0017846594476246824,-0.006787286317587769,-3.7201063346492804e-5,-0.006223630762408868,-0.0003623557028111709,-0.0051571308304379304,-0.0015445393798548385
5,-0.0037062940905884228,0.001861070543048804,-0.007523884523625716,5.552987804288623e-5,-0.006550908536477439,-0.0006362055651230844,-0.005486599241499861,-0.0016638916698202928
6,-0.0038137215377844202,0.001869910920328879,-0.0072992842021259545,-0.0002924272668493917,-0.0065815964535206346,-0.0006500407589203652,-0.005610563531473207,-0.0018933254353751495
7,-0.0050529808861725575,0.0018513096937567148,-0.008792926742221815,-0.0014384942328846072,-0.00819874210397472,-0.0020510793630612845,-0.0067382643573819885,-0.003205662986075297
8,-0.005011909752758587,0.0018344465449327886,-0.008669427302590807,-0.0014535059328808662,-0.00794269887803685,-0.0018963165709535495,-0.006593245622195001,-0.002999506626857005
9,-0.0041863547172489,0.0019311088706279304,-0.008158054974667801,-0.0005614367999547845,-0.007431351967982725,-0.0010060287344098272,-0.005975785907073193,-0.0021190349451837885
10,-0.003684329657501191,0.0020596951714860344,-0.007723602100536796,0.00014770166706518426,-0.007092535699602254,-0.0002371426277531615,-0.005767836539197638,-0.0015489974399412651
11,-0.0032947349342278757,0.0022134664768948087,-0.007616894387360011,0.0006687757385925873,-0.006876196929273649,0.00020950414750696303,-0.0056189673977555255,-0.0011384692970900679
12,-0.002363252289450857,0.0024980792267478495,-0.006625098842353839,0.0032100377564450782,-0.00583567153486107,0.0023111162279630167,-0.00429508377358857,0.0003230594446473996
